Naive: 3.811567 s
Searching through approximately 10^{6.02} configurations.../home/jirka/.local/lib/python3.11/site-packages/opentuner/search/driver.py:183: SAWarning: Object of type <DesiredResult> not in session, add operation along 'TuningRun.desired_results' will not proceed
  self.session.flush()  # populate configuration_id
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 13, 'J_BLOCK_SIZE': 54, 'K_BLOCK_SIZE': 57, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 53, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'J_BLOCK_SIZE': 36, 'K_BLOCK_SIZE': 9}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 8, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'J_BLOCK_SIZE': 36, 'K_BLOCK_SIZE': 49}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 26, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'J_BLOCK_SIZE': 35, 'K_BLOCK_SIZE': 16}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 51, 'J_BLOCK_SIZE': 26, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 26, 'TRANSPOSE_A': False}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 14, 'J_BLOCK_SIZE': 53, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 17, 'TRANSPOSE_A': True}
Error: block sizes do not divide matrix dimensions on {'TRANSPOSE_A': True, 'K_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 24, 'I_BLOCK_SIZE': 38, 'TRANSPOSE_B': True}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 59, 'J_BLOCK_SIZE': 12, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 44, 'TRANSPOSE_A': True}
Error: block sizes do not divide matrix dimensions on {'J_BLOCK_SIZE': 38, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 39, 'I_BLOCK_SIZE': 48, 'TRANSPOSE_A': False}
Error: block sizes do not divide matrix dimensions on {'TRANSPOSE_A': False, 'K_BLOCK_SIZE': 62, 'I_BLOCK_SIZE': 14, 'J_BLOCK_SIZE': 39, 'TRANSPOSE_B': False}
Success: time=0.589767 s on  {'I_BLOCK_SIZE': 3, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'J_BLOCK_SIZE': 45, 'I_BLOCK_SIZE': 3, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 40, 'TRANSPOSE_A': True}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 3, 'J_BLOCK_SIZE': 22, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=0.384633 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 3, 'J_BLOCK_SIZE': 29, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 59, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 26, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
